region,state,agro_zone,crop_type,crop_variety,soil_type,soil_pH,soil_nitrogen,soil_phosphorus,soil_potassium,rainfall_mm,temperature_C,fertilizer_type,fertilizer_amount_kg_ha,irrigation_type,yield_kg_ha,humidity
Southeast,Anambra,Humid Forest,Yam,Yellow Yam,Clay Loam,5.4,34.5,23.7,166.7,1730.9,28.5,Urea,133.5,Rainfed,8267.2,67.8
Southsouth,Edo,Derived Savanna,Cassava,TMS 30572,Alluvial,4.7,75.0,56.1,220.8,1522.4,32.2,NPK,179.9,Surface,11853.0,68.8
Southsouth,Edo,Derived Savanna,Beans,IT97K-499-35,Clay,6.6,33.5,100.2,27.6,1279.8,24.4,NPK,169.6,Rainfed,1005.0,70.7
Northeast,Gombe,Sudan Savanna,Sorghum,SAMSORG 14,Clay,4.7,25.6,65.9,182.6,456.1,29.1,NPK,171.8,Drip,1481.5,33.3
Southwest,Kwara,Derived Savanna,Yam,Water Yam,Lateritic,7.6,61.0,22.5,97.5,1383.7,27.6,NPK,134.9,Surface,6547.4,62.4
Northeast,Gombe,Sudan Savanna,Sorghum,SAMSORG 17,Clay Loam,4.2,125.8,102.3,186.1,544.2,36.4,Organic,99.7,Rainfed,870.0,28.2
Southsouth,Delta,Derived Savanna,Cassava,NR 8082,Alluvial,6.3,97.4,94.4,106.9,1665.3,23.8,NPK,84.1,Rainfed,9417.1,57.1
Southeast,Enugu,Humid Forest,Rice,FARO 44,Clay Loam,8.3,61.7,43.2,42.1,1734.8,23.9,NPK,41.9,Rainfed,2834.6,99.2
Southsouth,Edo,Derived Savanna,Cassava,TMS 30572,Loamy,5.3,76.2,64.0,115.0,1388.7,29.8,None,0.0,Rainfed,10287.7,59.0
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,SAMSORG 14,Clay Loam,4.2,27.8,91.3,45.0,1084.4,29.7,NPK,90.6,Rainfed,1059.1,72.6
Southwest,Osun,Derived Savanna,Cassava,TMS 98/0505,Lateritic,6.4,70.8,56.8,120.0,1564.1,28.6,Urea,50.8,Rainfed,11188.0,74.8
Northcentral,Nasarawa,Northern Guinea Savanna,Sorghum,SK 5912,Loamy,7.2,21.8,106.2,188.0,964.0,32.1,NPK,172.9,Rainfed,2334.2,49.9
Northeast,Yobe,Sudan Savanna,Sorghum,SAMSORG 17,Sandy Loam,6.7,13.5,28.6,33.9,983.6,32.9,NPK,108.1,Sprinkler,1143.6,51.2
Southsouth,Delta,Derived Savanna,Cassava,NR 8082,Lateritic,4.9,113.9,21.7,198.9,1111.9,30.8,Organic,49.8,Surface,8949.9,52.4
Northeast,Gombe,Sudan Savanna,Sorghum,SAMSORG 17,Sandy Loam,6.2,127.1,17.1,46.1,985.8,25.9,NPK,73.9,Rainfed,1948.8,37.5
Northcentral,Plateau,Northern Guinea Savanna,Sorghum,ICSV 400,Clay Loam,8.4,51.9,31.3,172.0,941.0,29.4,NPK,124.6,Surface,2567.3,47.4
Southwest,Ekiti,Humid Forest,Rice,Ofada,Loamy,8.2,59.2,60.1,111.2,2487.4,26.6,None,0.0,Drip,2288.2,89.3
Northwest,Katsina,Sudan Savanna,Sorghum,SAMSORG 17,Alluvial,4.7,81.8,20.6,80.8,695.4,34.8,Organic,98.2,Drip,1521.3,40.6
Southwest,Osun,Derived Savanna,Rice,FARO 44,Sandy,5.2,112.6,40.9,35.1,1360.1,24.0,None,0.0,Rainfed,3072.0,73.4
Southwest,Oyo,Derived Savanna,Cassava,NR 8082,Clay Loam,8.2,20.6,18.1,198.3,1232.4,32.9,Urea,136.5,Rainfed,7422.7,81.8
Southwest,Ondo,Humid Forest,Cassava,TMS 30572,Lateritic,4.9,118.9,70.2,208.6,1834.5,28.5,NPK,25.4,Rainfed,11304.7,71.9
Northcentral,Plateau,Northern Guinea Savanna,Pepper,Bawa,Alluvial,5.3,135.5,84.9,183.3,838.8,31.6,NPK,68.1,Rainfed,3722.7,71.8
Northwest,Sokoto,Sudan Savanna,Sorghum,SAMSORG 14,Loamy,5.8,59.6,91.9,75.2,791.3,34.2,Urea,174.8,Rainfed,2288.6,35.3
Southwest,Ondo,Humid Forest,Rice,FARO 52,Lateritic,5.1,93.5,89.7,134.5,2380.5,25.4,SSP,73.3,None,3382.0,68.0
Southwest,Oyo,Humid Forest,Cassava,NR 8082,Alluvial,6.7,43.2,38.0,91.2,1691.1,25.7,Organic,71.2,Rainfed,10269.6,87.4
Southwest,Kwara,Derived Savanna,Cassava,NR 8082,Sandy Loam,4.8,61.3,71.7,155.1,1339.0,33.4,NPK,137.2,Rainfed,11170.9,70.1
Southeast,Imo,Humid Forest,Rice,NERICA-1,Sandy,7.6,112.6,31.3,163.5,2509.7,27.0,NPK,122.0,Sprinkler,2960.0,83.8
Northeast,Gombe,Sudan Savanna,Onions,Ex-Gidan,Lateritic,7.7,68.6,100.9,122.7,716.7,26.0,Organic,62.8,Rainfed,11161.9,35.0
Southsouth,Delta,Derived Savanna,Yam,Yellow Yam,Sandy,7.3,62.1,73.4,164.1,1446.4,30.1,Urea,157.3,Rainfed,6843.5,77.4
Southwest,Oyo,Derived Savanna,Cassava,NR 8082,Clay,8.1,102.1,10.2,60.9,1249.6,26.2,None,0.0,Rainfed,4579.8,55.7
Northeast,Adamawa,Northern Guinea Savanna,Cassava,TMS 98/0505,Loamy,7.3,9.3,42.2,175.5,1138.9,30.4,NPK,63.7,None,8684.3,66.3
Southsouth,Delta,Derived Savanna,Cassava,NR 8082,Sandy Loam,4.2,60.3,44.8,95.0,942.0,27.9,NPK,63.2,Rainfed,10358.3,72.6
Southsouth,Cross River,Humid Forest,Cassava,NR 8082,Loamy,5.7,65.6,60.6,218.7,1827.2,29.5,NPK,63.0,Rainfed,11642.4,66.8
Southwest,Ekiti,Humid Forest,Cassava,TMS 98/0505,Clay Loam,6.7,18.9,44.5,143.0,1866.6,26.5,NPK,151.8,Surface,9420.9,97.6
Northwest,Katsina,Northern Guinea Savanna,Sorghum,ICSV 400,Clay,7.0,117.6,89.0,91.7,785.1,29.5,NPK,142.8,Rainfed,2798.6,49.6
Northeast,Taraba,Northern Guinea Savanna,Pepper,Bawa,Sandy Loam,6.9,42.8,46.3,103.8,1221.1,26.8,Urea,167.3,Surface,4398.7,64.8
Southsouth,Edo,Derived Savanna,Rice,Ofada,Alluvial,6.9,53.4,14.4,60.4,1062.6,24.3,NPK,79.9,Rainfed,2641.4,68.8
Northeast,Bauchi,Northern Guinea Savanna,Tomato,Tropimech,Loamy,7.4,48.9,56.1,108.3,876.9,23.0,NPK,27.1,Surface,18367.0,75.1
Southsouth,Akwa Ibom,Humid Forest,Cassava,TME 419,Clay Loam,5.9,37.6,73.0,107.7,2244.7,25.5,NPK,88.7,Rainfed,9973.6,81.4
Southsouth,Akwa Ibom,Humid Forest,Rice,NERICA-4,Alluvial,5.3,77.7,45.4,97.6,2449.9,32.3,Urea,150.2,Surface,3652.9,70.5
Northcentral,Nasarawa,Derived Savanna,Maize,SAMMAZ 15,Sandy Loam,5.8,86.3,62.5,205.1,1151.8,24.2,NPK,42.4,Rainfed,3759.2,55.6
Southwest,Osun,Derived Savanna,Cassava,Oko-Iyawo,Lateritic,6.1,126.0,8.3,170.4,1208.4,34.1,NPK,144.9,Rainfed,12270.6,68.5
Northwest,Kaduna,Northern Guinea Savanna,Maize,Oba Super-1,Sandy Loam,5.8,151.5,86.2,79.3,1319.4,29.1,SSP,33.9,Drip,3937.7,56.8
Southwest,Ogun,Humid Forest,Rice,Ofada,Sandy Loam,5.0,119.6,66.6,52.0,2243.2,31.7,NPK,157.3,None,3728.7,87.7
Northcentral,Plateau,Northern Guinea Savanna,Sorghum,CSR-01,Lateritic,5.3,51.8,50.1,41.3,1251.8,35.7,NPK,121.4,Drip,1704.9,72.5
Southeast,Enugu,Humid Forest,Cassava,NR 8082,Clay Loam,4.3,95.8,84.9,102.0,1970.3,31.3,NPK,152.5,Rainfed,10220.4,88.0
Northeast,Adamawa,Northern Guinea Savanna,Sorghum,SAMSORG 17,Sandy Loam,8.2,74.0,26.3,159.1,706.6,33.3,SSP,160.3,Rainfed,2795.7,60.2
Southwest,Osun,Derived Savanna,Cassava,TMS 30572,Sandy,4.3,4.1,28.9,159.0,1395.2,30.9,None,0.0,Rainfed,687.9,75.5
Southwest,Ogun,Humid Forest,Yam,Water Yam,Sandy Loam,7.5,97.7,63.5,141.5,1766.8,27.8,Urea,44.2,Rainfed,7665.1,98.1
Northcentral,Plateau,Northern Guinea Savanna,Cassava,TMS 98/0505,Lateritic,5.2,14.7,67.9,172.6,1145.9,34.5,NPK,117.1,Rainfed,4890.2,45.9
Northcentral,Kwara,Derived Savanna,Maize,DTMA,Sandy,8.0,149.1,95.0,128.5,1194.5,32.5,None,0.0,Drip,3189.1,57.9
Southwest,Lagos,Humid Forest,Rice,FARO 52,Lateritic,5.8,61.8,19.1,38.1,2348.9,26.8,Urea,82.5,Surface,3811.5,81.1
Northcentral,Benue,Derived Savanna,Maize,DMR-LSR-Y,Loamy,7.6,81.6,35.4,116.1,1004.6,25.0,NPK,99.9,Rainfed,3941.8,79.5
Southeast,Abia,Humid Forest,Cassava,TME 419,Alluvial,6.1,10.9,88.7,56.8,2048.9,26.6,NPK,135.2,Rainfed,4393.5,74.6
Southwest,Oyo,Derived Savanna,Cassava,Oko-Iyawo,Sandy,7.9,83.5,6.6,81.0,1332.0,25.9,NPK,78.9,None,6622.5,81.3
Northeast,Taraba,Northern Guinea Savanna,Maize,SAMMAZ 15,Alluvial,7.2,100.4,94.0,122.2,1284.1,22.4,NPK,173.8,None,3378.5,60.8
Southwest,Osun,Humid Forest,Rice,NERICA-1,Clay,6.2,85.8,52.1,68.0,2442.6,28.4,None,0.0,Rainfed,3640.6,86.2
Southwest,Oyo,Derived Savanna,Maize,SAMMAZ 15,Loamy,6.0,145.8,26.2,41.8,1010.1,33.9,Organic,68.7,Surface,2947.7,52.7
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 17,Alluvial,7.8,74.9,83.6,183.1,976.0,35.7,NPK,29.9,Drip,2361.5,35.8
Northcentral,Kwara,Derived Savanna,Maize,DMR-LSR-Y,Alluvial,8.0,125.6,42.0,50.3,1108.7,30.3,NPK,135.9,Rainfed,3277.9,51.9
Southwest,Osun,Derived Savanna,Cassava,TME 419,Sandy,5.2,19.0,42.7,180.5,1633.9,26.7,Urea,148.3,Drip,11800.9,59.2
Northcentral,Niger,Derived Savanna,Cassava,TME 419,Loamy,6.9,14.2,105.8,219.0,1345.6,27.1,NPK,125.1,Rainfed,8406.3,52.3
Southwest,Osun,Humid Forest,Cassava,TME 419,Lateritic,4.6,55.0,66.6,128.7,2333.5,31.4,Urea,50.1,None,10573.8,97.6
Southsouth,Edo,Derived Savanna,Beans,IT97K-499-35,Lateritic,8.1,31.7,89.7,44.5,1090.9,23.7,Organic,155.4,Drip,1377.7,52.4
Northeast,Yobe,Sudan Savanna,Sorghum,ICSV 400,Sandy Loam,7.7,106.8,66.1,85.5,588.7,27.3,Organic,80.5,Surface,2830.9,59.1
Southeast,Ebonyi,Humid Forest,Cassava,TMS 98/0505,Clay,8.2,19.8,56.7,87.1,2598.1,28.2,NPK,161.7,Rainfed,7312.2,86.0
Northeast,Gombe,Sudan Savanna,Sorghum,CSR-01,Sandy Loam,3.9,135.4,55.0,38.4,563.8,29.0,Organic,112.5,Drip,978.2,29.4
Northcentral,Nasarawa,Northern Guinea Savanna,Tomato,Roma VF,Sandy,4.9,56.2,110.9,100.5,871.1,20.9,Urea,89.5,Rainfed,11913.7,71.6
Northcentral,Nasarawa,Derived Savanna,Beans,IT97K-499-35,Clay Loam,7.8,19.3,89.9,32.5,1125.7,27.4,NPK,66.7,Rainfed,1217.7,70.6
Southsouth,Delta,Derived Savanna,Maize,Oba Super-1,Sandy Loam,6.0,128.6,66.0,38.6,1351.9,23.7,Organic,86.2,Drip,3881.7,66.7
Northcentral,Niger,Derived Savanna,Cassava,TMS 30572,Sandy,5.2,80.2,100.5,137.9,1473.7,34.8,None,0.0,Rainfed,8536.5,57.2
Southwest,Ogun,Humid Forest,Cassava,TMS 98/0505,Lateritic,4.6,136.6,10.5,83.8,1488.6,24.3,Urea,166.7,Rainfed,11448.0,92.6
Northcentral,Nasarawa,Northern Guinea Savanna,Sorghum,ICSV 400,Alluvial,4.5,79.2,39.4,116.1,995.0,21.8,NPK,47.6,Rainfed,1120.9,36.4
Southsouth,Delta,Derived Savanna,Maize,DTMA,Alluvial,5.5,74.6,81.4,46.0,923.8,30.8,Organic,71.3,Surface,3250.7,63.3
Southsouth,Delta,Derived Savanna,Maize,SAMMAZ 14,Alluvial,5.3,81.0,66.6,61.6,1604.1,32.0,NPK,93.0,Sprinkler,2682.1,53.4
Northeast,Yobe,Sudan Savanna,Sorghum,CSR-01,Loamy,8.2,29.1,98.9,68.9,809.9,38.5,NPK,156.6,Drip,3280.1,42.9
Southwest,Ondo,Humid Forest,Cassava,TMS 98/0505,Alluvial,6.2,7.1,32.1,210.8,2050.4,30.9,NPK,80.2,Rainfed,4220.2,84.9
Northeast,Adamawa,Northern Guinea Savanna,Sorghum,SK 5912,Lateritic,6.5,19.8,14.6,191.3,756.5,29.9,Urea,172.4,Surface,2391.8,68.6
Southwest,Osun,Humid Forest,Cassava,TME 419,Lateritic,5.4,9.0,78.2,163.1,1786.4,28.6,Urea,122.1,Rainfed,9732.7,82.8
Southwest,Kwara,Derived Savanna,Pepper,Atarugu,Lateritic,7.6,134.2,74.0,195.7,1053.5,33.3,Organic,73.0,Rainfed,4086.7,59.7
Northcentral,Nasarawa,Derived Savanna,Cassava,NR 8082,Alluvial,7.0,128.5,20.1,134.7,1383.6,30.9,NPK,158.0,Rainfed,8488.4,54.4
Northwest,Zamfara,Sahel Savanna,Sorghum,SAMSORG 14,Sandy Loam,4.8,90.7,67.3,98.0,407.3,29.1,Urea,136.9,None,1209.0,38.5
Southwest,Kwara,Derived Savanna,Cassava,TMS 98/0505,Sandy,4.4,124.4,35.5,141.9,1493.0,22.5,NPK,129.9,Rainfed,8380.8,65.0
Northcentral,Nasarawa,Northern Guinea Savanna,Beans,IT89KD-288,Alluvial,6.4,12.6,96.9,28.7,848.3,20.3,Urea,124.6,Rainfed,1110.4,35.7
Northcentral,Benue,Derived Savanna,Maize,Oba Super-1,Clay,6.9,105.3,50.9,139.5,1013.0,28.2,NPK,37.0,Rainfed,3931.7,57.9
Southwest,Osun,Derived Savanna,Cassava,Oko-Iyawo,Lateritic,8.2,18.0,14.5,208.1,1159.0,31.8,NPK,135.8,Sprinkler,8155.8,57.8
Northwest,Kebbi,Sahel Savanna,Sorghum,SK 5912,Alluvial,7.0,115.4,11.6,46.4,624.8,28.4,SSP,172.8,Rainfed,912.9,24.8
Southwest,Osun,Derived Savanna,Cassava,Oko-Iyawo,Sandy Loam,5.9,105.2,12.3,99.7,1280.9,27.3,NPK,111.0,Rainfed,10534.0,64.1
Northeast,Bauchi,Northern Guinea Savanna,Cassava,TMS 98/0505,Lateritic,4.2,132.6,60.0,56.1,787.0,35.0,Urea,130.1,Surface,3965.3,51.0
Northcentral,Niger,Derived Savanna,Cassava,TMS 30572,Clay Loam,8.1,131.0,11.4,214.0,1582.6,25.1,Urea,108.1,Rainfed,6010.4,48.7
Northcentral,Niger,Derived Savanna,Cassava,Oko-Iyawo,Clay,4.1,5.3,12.3,74.9,1276.1,23.9,Urea,124.7,Rainfed,1462.3,81.2
Northeast,Bauchi,Sudan Savanna,Sorghum,SAMSORG 14,Loamy,4.5,55.1,72.3,88.1,743.0,34.6,NPK,46.3,Rainfed,1098.0,50.5
Southeast,Anambra,Humid Forest,Rice,Ofada,Lateritic,7.3,127.7,67.1,146.7,2499.0,25.1,NPK,99.8,Rainfed,3295.5,93.7
Northeast,Yobe,Sudan Savanna,Sorghum,SK 5912,Loamy,4.4,75.8,49.8,170.4,941.7,37.3,NPK,74.9,Rainfed,1056.0,52.4
Northeast,Bauchi,Northern Guinea Savanna,Maize,SAMMAZ 15,Loamy,6.9,107.2,103.8,218.4,1141.1,24.5,Urea,131.1,Rainfed,3625.8,70.0
